116,329,283,454,0,0.752576694706878,-0.658504607868518,21.2602916254693
297,128,515,206,2,12,,
739,260,1236,623,2,11,,
162,405,409,623,0,0.982102279234616,-0.188348382318967,74.3303437365925
719,245,1231,638,2,11,,
288,114,533,204,2,12,,
630,827,1190,950,2,10,,
227,578,602,843,0,0.930408392817092,0.366524518382491,35.4682957019364
655,863,1241,949,2,10,,
782,533,1164,790,0,-0.715006669013058,-0.699117631923879,62.9364759102383
240,116,570,199,2,8,,
28,170,166,493,2,9,,
967,219,1267,412,2,7,,
957,464,1247,686,0,-0.789352217376326,-0.61394061351492,45.6070170039655
237,90,596,188,2,8,,
1050,191,1261,393,2,7,,
9,166,139,491,2,9,,
229,172,363,255,0,0.739940073395944,0.672672793996312,14.8660687473185
615,815,1263,939,2,2,,
994,178,1271,433,2,3,,
97,226,192,301,0,-0.868243142124459,0.496138938356834,8.06225774829855
3,193,50,462,2,1,,
681,165,824,280,0,-0.988936352868298,-0.148340452930245,20.2237484161567
225,64,613,172,2,4,,
31,135,84,479,2,5,,
836,198,982,310,0,-0.997785157856609,0.066519010523774,15.0332963783729
622,780,1257,920,2,6,,
18,125,124,517,2,5,,
1070,401,1253,555,0,0.242535625036333,-0.970142500145332,12.369316876853
1064,149,1277,343,2,7,30,
