951,110,1292,329,0,-0.945686599304866,0.325079768511048,20
1387,471,1917,1060,2,6,10,
24,129,697,293,2,4,10,
27,400,628,996,2,5,10,
1410,348,1823,672,0,-0.985622254813267,-0.168963815110846,35.5105618091294
29,86,781,275,2,8,10,
1397,131,1821,314,2,7,10,
36,370,404,977,2,9,10,
90,366,1010,1060,0,0.882352941176471,-0.470588235294118,34
1364,88,1863,305,2,11,10,
1400,514,1904,1046,2,10,10,
8,88,733,243,2,9,10,
100,209,451,431,0,0.939793423488437,0.341743063086704,23.4093998214392
2,443,119,835,2,1,10,
1241,473,1904,1060,2,2,10,
1323,92,1856,306,2,3,10,
80,106,553,183,3,,,
1062,34,1352,140,3,,,
