380,339,688,626,0,0.96351790962994,-0.267643863786095,37.3630833845388
800,12,1597,350,2,6,10,
1325,517,1902,1057,2,5,10,
361,476,816,958,0,0.951444518554412,0.307820285414663,35.7351367704113
700,600,1902,1069,2,5,10,
963,4,1639,224,2,6,10,
1386,397,1899,829,0,-0.844508578449678,-0.535542025358332,48.5489443757534
1288,13,1697,228,2,3,10,
49,244,327,503,2,4,10,
898,41,1073,175,0,-0.997630328422983,0.068802091615378,20
15,7,295,528,2,1,10,
950,100,1175,247,0,-0.876215908676647,0.481918749772156,10
1061,300,1884,1040,2,2,10,
25,20,325,545,2,1,10,
972,297,1439,711,0,-0.916157334902189,-0.400818834019708,34.928498393146
37,26,346,522,2,4,10,
