202,177,285,219,0,0.832050294337844,0.554700196225229,3.60555127546399
793,132,992,256,2,3,,
416,456,1138,940,2,2,,
152,194,221,246,0,0.650791373455968,0.759256602365297,9.21954445729289
803,118,996,247,2,3,,
428,435,1150,931,2,2,,
96,216,171,260,0,0.832050294337844,0.554700196225229,3.60555127546399
818,95,1023,237,2,3,,
440,415,1173,916,2,2,,
60,255,123,295,0,0.554700196225229,0.832050294337844,3.60555127546399
9,292,33,460,2,1,,
70,436,233,571,0,0.8,-0.6,20
248,130,459,209,2,12,,
835,83,1035,224,2,11,,
15,574,233,768,0,0.894427190999916,-0.447213595499958,30
855,58,1047,211,2,11,,
179,667,497,942,0,0.707106781186547,-0.707106781186547,2.82842712474619
659,492,1187,896,2,10,,
812,264,998,382,0,-0.496138938356834,-0.868243142124459,8.06225774829855
875,33,1074,203,2,7,,
716,313,949,552,0,-0.882352941176471,-0.470588235294118,17
272,89,477,195,2,8,,
900,13,1154,212,2,7,,
18,264,277,471,2,9,,
489,101,576,181,0,-0.948683298050514,0.316227766016838,15
178,112,343,174,2,4,,
16,198,450,475,2,5,,
429,453,1193,948,2,6,,
626,126,733,196,0,-0.6,0.8,2
427,451,1193,948,2,6,,
16,200,460,475,2,5,,
371,109,443,190,0,-1,0,7
171,72,288,182,2,4,,
16,236,310,475,2,5,,
377,281,633,507,0,0.8661855860486,-0.499722453489577,30
845,9,1201,173,2,11,,
